# psi iota logL logPrior
2.031266673639603670e+00 1.637287518326234981e+00 1.531895932971500329e+01 -1.840089236435831666e+00
3.815419798159895848e-01 1.659069625582339391e+00 1.571008972234780998e+01 -1.841778224420546728e+00
4.778350346311340258e-01 1.608713280628650377e+00 1.573386291146056770e+01 -1.838596086416762532e+00
1.945014930163730726e+00 1.656243978239574144e+00 1.574963210115580203e+01 -1.841532168063238162e+00
4.247215179226500603e-01 1.516661889418294384e+00 1.585566864793911535e+01 -1.839343051294907827e+00
3.816964864467202734e-01 1.660039460798840238e+00 1.591988207810675249e+01 -1.841864532034883872e+00
1.926012890334356742e+00 1.647980053622943197e+00 1.658286735960911429e+01 -1.840858692439135913e+00
1.906885322740185629e+00 1.550210637423125704e+00 1.716339974191805595e+01 -1.838088966679619629e+00
1.903758836706938684e+00 1.552860782053006039e+00 1.753273743745279489e+01 -1.838037916916049674e+00
4.693014383920943722e-01 1.536500053833856683e+00 1.762395086993167581e+01 -1.838465298908965817e+00
4.069474807356253110e-01 1.504676201398370550e+00 1.824531253714987145e+01 -1.840064596531267860e+00
2.055603248324366472e+00 1.623097284621987768e+00 1.846151335376670843e+01 -1.839245385489322704e+00
1.969902198379255509e+00 1.674773883070163505e+00 1.855320466539287239e+01 -1.843292501096812197e+00
1.959542332646261098e+00 1.504785092862852780e+00 1.866991061266521612e+01 -1.840057392057872665e+00
2.021563144945540458e+00 1.514955901461280119e+00 1.869478470983050045e+01 -1.839436953874320935e+00
1.891631223643982507e+00 1.573749190337280446e+00 1.871473437277737162e+01 -1.837881426117231154e+00
3.259910073807308351e-01 1.556137986009352936e+00 1.873813391993252608e+01 -1.837984503734175767e+00
1.894401430296762223e+00 1.561167733585206996e+00 1.884340894919337117e+01 -1.837923422029220877e+00
1.975578377599062074e+00 1.677786336960552349e+00 1.920493350436442626e+01 -1.843611450215438374e+00
4.931551775888727285e-01 1.571248088743059323e+00 1.921894136731306091e+01 -1.837877168453777799e+00
3.148293380949312437e-01 1.594576731861471197e+00 1.984394767026036988e+01 -1.838159846895840221e+00
1.943038822963996104e+00 1.503428885592281716e+00 2.014965625573230312e+01 -1.840147970958353252e+00
2.069427726455584260e+00 1.580297278350982548e+00 2.019113030922579810e+01 -1.837922201128624700e+00
2.039496594102292448e+00 1.516145097401823127e+00 2.097743110050337023e+01 -1.839371188832111148e+00
1.921232105129858647e+00 1.667638724767509073e+00 2.100620443194510045e+01 -1.842573639425442611e+00
1.959595990689177558e+00 1.494195128487872060e+00 2.119724392161930027e+01 -1.840813811899152608e+00
3.445456685128360785e-01 1.664618470255726512e+00 2.127792412339724848e+01 -1.842284836048291297e+00
4.726676422719592319e-01 1.516882370311178896e+00 2.147094375477351846e+01 -1.839331128389973369e+00
4.238192461809697775e-01 1.491782400616375126e+00 2.173601585711716666e+01 -1.841001920221752020e+00
2.072850526361488033e+00 1.616205810006170474e+00 2.177460935934293929e+01 -1.838908431514667097e+00
3.438206490046378794e-01 1.512080199070509501e+00 2.180988317756122186e+01 -1.839601849634469932e+00
4.766018934411104802e-01 1.517983632213863565e+00 2.192417106626371748e+01 -1.839272305540483599e+00
1.884452465810193766e+00 1.628568183491858168e+00 2.198619396430481032e+01 -1.839546789240309899e+00
1.879487315827203853e+00 1.554250573422496950e+00 2.276087666159151013e+01 -1.838013953632598785e+00
3.185972091432942577e-01 1.533567570915143063e+00 2.285110651746598975e+01 -1.838570216679152658e+00
1.892621248604406059e+00 1.651379432172556783e+00 2.299858186614159195e+01 -1.841127404885710916e+00
1.895600860906583973e+00 1.522103506365033665e+00 2.328398074026848619e+01 -1.839063030552893441e+00
3.008416160986808752e-01 1.574565714690367768e+00 2.338265923436576088e+01 -1.837884170568721665e+00
1.908789262734778447e+00 1.507188965098612554e+00 2.360127042444145218e+01 -1.839901380220393845e+00
3.542430227770498874e-01 1.683038143137710385e+00 2.361527267880584446e+01 -1.844189449955433213e+00
2.060296974205311660e+00 1.661282567179058756e+00 2.422267354570597320e+01 -1.841976545104416996e+00
2.055582791952066835e+00 1.671156499559346864e+00 2.500581356545113110e+01 -1.842921625365556704e+00
1.882013312095914825e+00 1.525663143004070577e+00 2.534077569195373414e+01 -1.838895914519041996e+00
3.961313743990157454e-01 1.703987366091348710e+00 2.548223218780085375e+01 -1.846773342815954511e+00
2.080572155534466283e+00 1.538300340213819561e+00 2.548609221999381447e+01 -1.838405153933549752e+00
2.022876640805312931e+00 1.482774930340548414e+00 2.570817250284002498e+01 -1.841755962209224773e+00
4.601583788435299471e-01 1.486254938838181605e+00 2.576793482729893370e+01 -1.841454954606675631e+00
2.093250641655125310e+00 1.608116597395665925e+00 2.600606241709046174e+01 -1.838573629426526690e+00
1.868292304934353165e+00 1.637597149102448579e+00 2.627957109690276383e+01 -1.840109902697626643e+00
2.097304236593421578e+00 1.584043296047115579e+00 2.662344532978298872e+01 -1.837964810072816979e+00
3.875103138596711627e-01 1.470948083313303067e+00 2.673478939151198830e+01 -1.842870207222894408e+00
2.011409150909303278e+00 1.473338000591089880e+00 2.690783649089534535e+01 -1.842633666044567908e+00
5.025152602752886999e-01 1.665808513285428560e+00 2.718155460637531107e+01 -1.842397531628636509e+00
2.091722886539250315e+00 1.635372977496947655e+00 2.733215512716959950e+01 -1.839963589105827690e+00
5.304867879951582488e-01 1.580065957093607532e+00 2.758552816764518312e+01 -1.837920030047570652e+00
3.662141664081344228e-01 1.472529386157544362e+00 2.759499025410573125e+01 -1.842713052780203586e+00
2.101018288784366028e+00 1.603685323491070180e+00 2.762674585717862286e+01 -1.838418006993055798e+00
2.065237965289501876e+00 1.499831494142173760e+00 2.787517785698499750e+01 -1.840397186436235621e+00
2.083929605602384161e+00 1.656366431097421987e+00 2.791188934821736822e+01 -1.841542664464615342e+00
4.435993381311132966e-01 1.710550083894352813e+00 2.813699730961636902e+01 -1.847674577970614740e+00
2.780858123756964062e-01 1.600947942713744299e+00 2.850190402451567095e+01 -1.838331695272228838e+00
3.431003140796291540e-01 1.702916404424736463e+00 2.888682641178871791e+01 -1.846630434522973374e+00
2.072666069152163448e+00 1.500055362282070703e+00 2.905198628222064983e+01 -1.840381298133522581e+00
3.323813469614689819e-01 1.482247498197593938e+00 2.910979933524299668e+01 -1.841802647973154183e+00
1.883887803379490578e+00 1.683760227619997885e+00 2.945068254513827810e+01 -1.844271104136704587e+00
1.843191583827491042e+00 1.612414517134947989e+00 3.010935137198381284e+01 -1.838743353415099202e+00
1.882456428245979918e+00 1.491735461805635765e+00 3.040833762025258125e+01 -1.841005637887639157e+00
3.948334343306059147e-01 1.725496143898496593e+00 3.042321502514362663e+01 -1.849891118461592709e+00
3.564582716633780124e-01 1.463076647236581485e+00 3.045585063991613595e+01 -1.843690086090232327e+00
2.910352761336842953e-01 1.664022464806378387e+00 3.046245089539313966e+01 -1.842228932060967495e+00
1.854787190815053277e+00 1.653493532678901978e+00 3.062150147517425225e+01 -1.841300384926277234e+00
2.090012710993207179e+00 1.669620641215582513e+00 3.069644368417754521e+01 -1.842768158026583336e+00
1.932762417307944958e+00 1.721380822509853914e+00 3.102160678730969678e+01 -1.849258021393033413e+00
2.069177811385603860e+00 1.695061609548556669e+00 3.107729933728126426e+01 -1.845617949790139267e+00
4.349303041129375380e-01 1.453474697325066733e+00 3.108566707461052303e+01 -1.844775095118372565e+00
3.217014789134005071e-01 1.478853925399064018e+00 3.118383564036989597e+01 -1.842109737460043917e+00
5.433532970350971603e-01 1.558334580441242956e+00 3.119363841353187183e+01 -1.837954715980234743e+00
3.997925528658521355e-01 1.729278722470178886e+00 3.119976614555967842e+01 -1.850488326683333851e+00
5.297101328904152417e-01 1.657375333882641133e+00 3.122578454805768899e+01 -1.841629720431540385e+00
1.835837808713812080e+00 1.589669431759471285e+00 3.133517232762157434e+01 -1.838055174028704331e+00
1.930979339181083887e+00 1.457308915680935790e+00 3.141068146411351591e+01 -1.844330633541589881e+00
3.640835339619221678e-01 1.725098290746445828e+00 3.167370072638077616e+01 -1.849829155982458451e+00
1.836249319258245638e+00 1.615827215639292547e+00 3.177053933057382906e+01 -1.838891299727772211e+00
1.853994495367396134e+00 1.517294689066869040e+00 3.182097847707321137e+01 -1.839308962340626241e+00
5.353653317314784887e-01 1.652948938672951895e+00 3.188336618123155120e+01 -1.841255394882228780e+00
2.619181150313827366e-01 1.592090260848140426e+00 3.203348533048404079e+01 -1.838103799358502766e+00
2.028159181697460234e+00 1.455053298004489015e+00 3.212788640581293720e+01 -1.844590299814011347e+00
2.121801200379058283e+00 1.609722311186060573e+00 3.240682255943634260e+01 -1.838634873944500203e+00
4.957576892604554919e-01 1.474338434944667320e+00 3.246869162518689933e+01 -1.842536360703554976e+00
2.025145010899866538e+00 1.727588476411258123e+00 3.252544229701835121e+01 -1.850219651663070231e+00
2.647865621821059445e-01 1.638077859973738004e+00 3.317393860560063956e+01 -1.840142178490437042e+00
1.873247411006464525e+00 1.483375283481583651e+00 3.323672727233772406e+01 -1.841703162998016285e+00
2.061780595196793353e+00 1.466456568668520255e+00 3.328441002241761026e+01 -1.843330364582124403e+00
1.985604377815318067e+00 1.441365878398189748e+00 3.328524242312256121e+01 -1.846276678367951174e+00
2.574282794941267216e-01 1.568321879846564793e+00 3.338832614712489999e+01 -1.837880127856319712e+00
1.997362206864609302e+00 1.738061122370592848e+00 3.340710474578195743e+01 -1.851931541578373697e+00
2.573435272695487885e-01 1.617521468965208431e+00 3.359882640255674602e+01 -1.838969083307183672e+00
4.106038893555374880e-01 1.740403427497177580e+00 3.365844418950909755e+01 -1.852329843994307890e+00
2.039472993366989062e+00 1.452248336526499317e+00 3.367232877281268344e+01 -1.844920400053520204e+00
5.362355351787106983e-01 1.671277260918154095e+00 3.400507730845078669e+01 -1.842933793216952498e+00
1.973265704585163816e+00 1.742928627855120816e+00 3.422457771506492463e+01 -1.852765573321111470e+00
5.307756757968025152e-01 1.681123291289491561e+00 3.423175585196683812e+01 -1.843975472725319698e+00
1.881355757664821216e+00 1.710208456600262661e+00 3.428388869278693818e+01 -1.847626580503306748e+00
5.112327612260324505e-01 1.475015544284024482e+00 3.455181952401619583e+01 -1.842471076223355819e+00
2.504725878259823624e-01 1.595329896100204481e+00 3.456831324750829992e+01 -1.838178044615522921e+00
5.478235673206788281e-01 1.655787022402990694e+00 3.460218111000709484e+01 -1.841493132121035270e+00
1.828044027111071834e+00 1.541446130302229101e+00 3.482125008191059123e+01 -1.838307845279683272e+00
5.275611122988590473e-01 1.690205822455554951e+00 3.489943861394048241e+01 -1.845023387308323493e+00
2.500702842433590867e-01 1.569712110561373164e+00 3.494303652401764992e+01 -1.837877654171881092e+00
2.120702728749475519e+00 1.524420057842565512e+00 3.497683387437312774e+01 -1.838952831271659427e+00
4.516280287516634129e-01 1.740233239932620579e+00 3.500681369642064311e+01 -1.852300713876364080e+00
4.302308189294965501e-01 1.435183431673887178e+00 3.501602419883464279e+01 -1.847100819377164971e+00
2.826321915195761925e-01 1.492996121133916887e+00 3.505192805048734783e+01 -1.840906560451832874e+00
